"compartments","tank","treat","B","C","P","R","E","alpha","M"
"G_h","D2","0HW",406.028264338143,22.9685469564559,6.25283527080741,14.5176217419157,2.19808994373283,0.9043,NA
"G_h","E1","3HW",867.695222585032,38.3837593027233,14.316971172653,20.3934623647996,3.67332576527062,0.9043,NA
"G_h","E2","3HW",980.505235766667,30.2927455165364,16.17833639015,11.2153933804539,2.89901574593254,0.9043,NA
"G_h","F1","1HW",426.118802632813,34.8510412316648,7.03096024344141,24.4848363423531,3.33524464587032,0.9043,NA
"G_h","F2","1HW",331.635760747239,56.1677021119188,5.47199005232944,45.3204629674787,5.37524909211063,0.9043,NA
"A_d","A1","0HW",34.1267763490278,2.44456116601312,0.371981862204404,1.74867494931197,0.323904354496737,0.8675,NA
"A_d","A2","0HW",48.3130341815142,3.46074782934363,0.526612072578504,2.4755866693771,0.458549087388031,0.8675,NA
"A_d","B2","3HW",44.861274942076,4.97903401485621,0.758155546521085,3.56115646136668,0.659722006968449,0.8675,NA
"A_d","C1","1HW",106.351999394703,11.8037265596645,1.79734878977048,8.44238400073849,1.56399376915555,0.8675,NA
"A_d","C2","1HW",19.2114869882719,2.1322320267108,0.324674130101795,1.52503715306983,0.282520743539181,0.8675,NA
"A_d","D1","0HW",54.3557810615931,3.89360044360788,0.592478013571365,2.78522037125847,0.515902058778044,0.8675,NA
"A_d","D2","0HW",33.1820332057089,2.37688754878087,0.361684161942227,1.70026578662518,0.314937600213465,0.8675,NA
"A_d","E1","3HW",61.5308659448646,6.82914774264909,1.03987163446821,4.88441403227987,0.904862075901003,0.8675,NA
"A_d","E2","3HW",37.8764793997739,4.20381006866114,0.640112501856179,3.00669273270736,0.557004834097601,0.8675,NA
"A_d","F1","1HW",17.0272534037525,1.88980972980203,0.287760582523416,1.35164935807985,0.250399789198769,0.8675,NA
"A_d","F2","1HW",38.4498510095525,4.26744706408596,0.649802482061437,3.05220784603313,0.565436735991389,0.8675,NA
"G_d","A1","0HW",116.827896991832,53.4604621573109,5.34967065384345,8.24197226750677,39.8688192359607,0.254237288135593,NA
"G_d","A2","0HW",66.8578423602245,30.5941581030781,3.06148999051819,4.71668579839998,22.81598231416,0.254237288135593,NA
"G_d","B2","3HW",64.8447254533335,39.0286794640581,3.90551395857287,6.01703166788259,29.1061338376027,0.254237288135593,NA
"G_d","C1","1HW",122.62480068643,73.8052942143908,7.38553317019938,11.3785246809169,55.0412363632745,0.254237288135593,NA
"G_d","C2","1HW",61.075353341276,36.7599734912319,3.67848955071582,5.66726642163128,27.4142175188848,0.254237288135593,NA
"G_d","D1","0HW",60.7553698422454,27.8016658172993,2.78205144042941,4.28616868261279,20.7334456942571,0.254237288135593,NA
"G_d","D2","0HW",116.777197073595,53.4372618675679,5.34734905196816,8.23839549063386,39.8515173249659,0.254237288135593,NA
"G_d","E1","3HW",125.011126111147,75.2415734097628,7.52925846459728,11.599955114156,56.1123598310095,0.254237288135593,NA
"G_d","E2","3HW",37.1374569933829,22.352256023477,2.23674100953573,3.44603594558554,16.6694790683557,0.254237288135593,NA
"G_d","F1","1HW",76.6192609630602,46.1155252951506,4.61467900580626,7.10960708618119,34.3912392031632,0.254237288135593,NA
"G_d","F2","1HW",136.516980905378,82.1667059565452,8.22224121978717,12.6675992776396,61.2768654591185,0.254237288135593,NA
"I_d","A1","0HW",1.93661808174807,0.288494677379347,0.0635210730813367,0.181353209078253,0.0436203952197573,0.8488,NA
"I_d","A2","0HW",0.780752721731312,0.151196962791582,0.025608689272787,0.102727292744708,0.0228609807740872,0.8488,NA
"I_d","B2","3HW",10.1170324977938,3.04125582258823,0.665578806574625,1.91583913563827,0.45983788037534,0.8488,NA
"I_d","C1","1HW",1.25350098865846,0.273324618229776,0.0824652576981789,0.149532678255255,0.0413266822763421,0.8488,NA
