"tank","species","length_µm","length_mm","treatment","temperature","estimate_a","estimate_b","DW_mg","DW_µg","B_µg","B_mg.m2"
"C1","G_h",1562.118,1.562118,"1HW","25",0.19,2.34,4.39835599971586,4398.35599971586,191.365432178038,0.125075445867998
"C1","A_o",15536.2529581821,15.5362529581821,"1HW","25",-1.69,2.6,25.556438880919,25556.438880919,7971.05328695863,5.20983874964616
"C1","I_o",2110.586,2.110586,"1HW","25",-1.77,2.51,0.110726523147323,110.726523147323,33.3286834673441,0.0217834532466301
"C1","G_h",958.06,0.95806,"1HW","25",0.19,2.34,1.40106710766062,1401.06710766062,60.9581881469415,0.0398419530372167
"C1","A_o",18873.4505556921,18.8734505556921,"1HW","25",-1.69,2.6,42.3851183383219,42385.1183383219,13219.9184097226,8.6404695488383
"C1","I_o",1952.069,1.952069,"1HW","25",-1.77,2.51,0.091021264228202,91.021264228202,27.3974005326888,0.0179067977337835
"C1","G_h",2342.939,2.342939,"1HW","25",0.19,2.34,11.3564004157595,11356.4004157595,494.098811849029,0.322940399901326
"C1","A_o",11171.2595465628,11.1712595465628,"1HW","25",-1.69,2.6,10.8409057670203,10840.9057670203,3381.27850873365,2.20998595342068
"C1","I_o",5232.328,5.232328,"1HW","25",-1.77,2.51,1.08124559658944,1081.24559658944,325.454924573423,0.212715636976093
"C1","G_h",1193.432,1.193432,"1HW","25",0.19,2.34,2.34264546646473,2342.64546646473,101.924756013134,0.0666174875902836
"C1","A_o",11468.1827396675,11.4681827396675,"1HW","25",-1.69,2.6,11.6060910138679,11606.0910138679,3619.9397872254,2.36597371714079
"C1","I_o",9128.794,9.128794,"1HW","25",-1.77,2.51,4.37157215829888,4371.57215829888,1315.84321964796,0.860028248135924
"C1","G_h",1154.53,1.15453,"1HW","25",0.19,2.34,2.16784496623977,2167.84496623977,94.3194659291465,0.0616467097576121
"C1","A_o",10715.9937700908,10.7159937700908,"1HW","25",-1.69,2.6,9.7293623115056,9729.3623115056,3034.5881049586,1.98339091827359
"C1","I_o",10503.391,10.503391,"1HW","25",-1.77,2.51,6.21637388764158,6216.37388764158,1871.12854018011,1.22295983018308
"C1","G_h",1312.602,1.312602,"1HW","25",0.19,2.34,2.92705824364573,2927.05824364573,127.351620887836,0.0832363535214613
